C_Time_min 	Press_mbar
0.00	1013
0.08	1013
0.17	1013
0.25	1013
0.33	1013
0.42	1013
0.50	1013
0.58	994.8
0.67	976.9
0.75	959.3
0.83	941.9
0.92	941.9
1.00	924.8
1.08	907.9
1.16	891.3
1.25	874.9
1.33	858.8
1.41	842.9
1.50	827.2
1.58	827.2
1.66	811.8
1.75	796.6
1.83	781.7
1.91	766.9
1.99	752.4
2.08	738.2
2.16	724.1
2.24	724.1
2.33	710.3
2.41	696.6
2.49	683.2
2.58	670
2.66	657
2.74	644.2
2.82	631.7
2.91	619.3
2.99	619.3
3.07	607.1
3.16	595.1
3.24	583.3
3.32	571.7
3.41	560.2
3.49	549
3.57	538
3.65	538
3.74	527.1
3.82	516.4
3.90	505.9
3.99	495.5
10.99	495.5
11.07	485.4
11.15	475.3
11.24	465.5
11.32	446.3
11.40	437
11.48	427.8
12.48	427.8
12.57	437
12.65	446.3
12.73	455.8
12.82	465.5
12.90	465.5
12.98	475.3
13.07	485.4
13.15	495.5
13.23	505.9
14.73	505.9
14.81	516.4
14.90	527.1
14.98	538
15.06	549
15.15	549
15.23	560.2
15.31	571.7
15.40	583.3
15.48	595.1
15.56	607.1
15.64	619.3
15.73	631.7
16.73	631.7
16.81	619.3
16.89	607.1
16.98	595.1
17.06	583.3
17.14	560.2
17.23	549
17.31	538
17.39	527.1
17.47	516.4
17.56	505.9
17.64	495.5
17.72	485.4
23.72	485.4
23.81	495.5
23.89	505.9
23.97	516.4
24.06	527.1
24.14	538
24.22	549
24.30	549
24.39	560.2
24.47	571.7
24.55	583.3
24.64	595.1
24.72	607.1
24.80	619.3
24.89	631.7
24.97	644.2
25.05	657
25.13	670
25.22	683.2
25.30	683.2
25.38	696.6
25.47	710.3
25.55	724.1
25.63	738.2
25.72	752.4
25.80	766.9
25.88	781.7
25.96	796.6
26.05	811.8
26.13	827.2
26.21	842.9
27.71	842.9
27.80	842.9
27.88	842.9
27.96	858.8
28.04	858.8
28.13	874.9
28.21	874.9
30.21	874.9
30.29	874.9
30.38	874.9
30.46	874.9
30.54	891.3
30.63	891.3
30.71	891.3
30.79	891.3
30.87	891.3
30.96	891.3
31.04	891.3
31.12	907.9
31.21	907.9
31.29	907.9
31.37	907.9
31.46	907.9
31.54	907.9
31.62	907.9
31.70	924.8
31.79	924.8
31.87	924.8
31.95	924.8
32.04	924.8
32.12	924.8
32.20	941.9
32.29	941.9
32.37	941.9
32.45	941.9
32.53	941.9
32.62	941.9
32.70	941.9
32.78	959.3
32.87	959.3
32.95	959.3
33.03	959.3
33.12	959.3
33.20	959.3
33.28	959.3
33.36	976.9
33.45	976.9
33.53	976.9
33.61	976.9
33.70	976.9
33.78	976.9
33.86	976.9
33.95	994.8
34.03	994.8
34.11	994.8
34.19	994.8
34.44	994.8
34.53	994.8
34.61	976.9
34.69	976.9
34.78	959.3
34.86	959.3
34.94	959.3
35.03	941.9
35.11	941.9
35.19	924.8
35.27	924.8
35.36	924.8
35.44	907.9
35.52	907.9
35.61	891.3
35.69	891.3
35.77	891.3
35.86	874.9
35.94	874.9
36.02	874.9
36.10	858.8
36.19	858.8
36.27	842.9
36.35	842.9
36.44	842.9
40.44	842.9
40.52	842.9
40.60	842.9
40.69	858.8
40.77	858.8
40.85	858.8
40.93	874.9
41.02	874.9
41.10	891.3
41.18	891.3
41.27	891.3
41.35	907.9
41.43	907.9
44.93	907.9
45.02	907.9
45.10	907.9
45.18	907.9
45.26	924.8
45.35	924.8
45.43	924.8
45.51	924.8
45.60	924.8
45.68	924.8
45.76	941.9
45.85	941.9
45.93	941.9
46.01	941.9
46.09	941.9
46.18	941.9
46.26	941.9
46.34	959.3
46.43	959.3
46.51	959.3
46.59	959.3
46.68	959.3
46.76	959.3
46.84	976.9
46.92	976.9
47.01	976.9
47.09	976.9
47.17	976.9
47.26	976.9
47.34	976.9
47.42	994.8
47.51	994.8
47.59	994.8
47.67	994.8
47.75	994.8
47.84	994.8
47.92	1013
48.00	1013
48.09	1013
48.17	1013
48.42	1013
48.50	1013
48.59	994.8
48.67	994.8
48.75	994.8
48.83	976.9
48.92	976.9
49.00	976.9
49.08	959.3
49.17	959.3
49.25	959.3
49.33	941.9
49.42	941.9
49.50	924.8
49.58	924.8
49.66	924.8
49.75	907.9
49.83	907.9
49.91	907.9
50.00	891.3
50.08	891.3
50.16	891.3
50.25	874.9
50.33	874.9
50.41	874.9
50.49	858.8
50.58	858.8
50.66	858.8
50.74	842.9
50.83	842.9
50.91	842.9
55.91	842.9
55.99	842.9
56.08	842.9
56.16	842.9
56.24	842.9
56.32	842.9
56.41	858.8
56.49	858.8
56.57	858.8
56.66	858.8
56.74	858.8
56.82	858.8
56.91	874.9
56.99	874.9
57.07	874.9
57.15	874.9
57.24	874.9
57.32	874.9
57.40	891.3
57.49	891.3
57.57	891.3
57.65	891.3
57.74	891.3
57.82	891.3
57.90	907.9
57.98	907.9
58.07	907.9
58.15	907.9
58.23	907.9
58.32	907.9
58.40	924.8
58.48	924.8
58.57	924.8
58.65	924.8
58.73	924.8
58.81	924.8
58.90	941.9
58.98	941.9
59.06	941.9
59.15	941.9
59.23	941.9
59.31	941.9
59.40	959.3
59.48	959.3
59.56	959.3
59.64	959.3
59.73	959.3
59.81	959.3
59.89	976.9
59.98	976.9
60.06	976.9
60.14	976.9
63.14	976.9
63.23	976.9
63.31	976.9
63.39	976.9
63.47	976.9
63.56	994.8
63.64	994.8
63.72	994.8
63.81	994.8
63.89	994.8
64.14	994.8
64.22	994.8
64.31	994.8
64.39	994.8
64.47	976.9
64.55	976.9
64.64	976.9
66.14	976.9
66.22	976.9
66.30	976.9
66.39	976.9
66.47	994.8
66.55	994.8
66.64	994.8
66.72	994.8
66.80	994.8
66.88	994.8
66.97	1013
67.05	1013
67.13	1013
67.38	1013
67.47	1013
67.55	1013
67.63	1013
67.72	994.8
67.80	994.8
67.88	994.8
67.96	994.8
68.05	994.8
68.13	994.8
68.21	976.9
68.30	976.9
68.38	976.9
70.88	976.9
70.96	976.9
71.05	976.9
71.13	976.9
71.21	976.9
71.29	994.8
71.38	994.8
71.46	994.8
71.54	994.8
71.63	994.8
71.88	994.8
71.96	994.8
72.04	994.8
72.13	994.8
72.21	994.8
72.29	976.9
72.37	976.9
72.46	976.9
72.54	976.9
72.62	976.9
74.37	976.9
74.46	976.9
74.54	976.9
74.62	976.9
74.71	994.8
74.79	994.8
74.87	994.8
74.95	994.8
75.04	994.8
75.12	994.8
75.20	1013
75.29	1013
75.37	1013
80.37	1013	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
