C_Time_min 	Press_mbar
0	1013
0.083	1013
0.166	1013
0.249	1013
0.332	1013
0.415	1013
0.498	1013
0.581	1013
0.664	1013
0.747	1013
0.83	1013
0.913	1013
0.996	1013
1.079	1013
1.162	1013
1.245	1013
1.328	1013
1.411	1013
1.494	1013
1.577	1013
1.66	1013
1.743	1013
1.826	1013
1.909	1013
1.992	1013
2.075	1013
2.158	1013
2.241	1013
2.324	1013
2.407	1013
2.49	1013
2.573	994.8
2.656	994.8
2.739	976.9
2.822	976.9
2.905	959.3
2.988	941.9
3.071	941.9
3.154	924.8
3.237	907.9
3.32	907.9
3.403	891.3
3.486	891.3
3.569	874.9
3.652	858.8
3.735	858.8
3.818	842.9
3.901	827.2
3.984	827.2
4.067	811.8
4.15	811.8
4.233	796.6
4.316	781.7
4.399	781.7
4.482	766.9
4.565	752.4
4.648	752.4
4.731	738.2
4.814	738.2
4.897	724.1
4.98	710.3
5.063	710.3
5.146	696.6
5.229	696.6
5.312	683.2
5.395	670
5.478	670
5.561	657
5.644	644.2
5.727	644.2
5.81	631.7
5.893	631.7
5.976	619.3
6.059	607.1
6.142	607.1
6.225	595.1
6.308	595.1
6.391	583.3
6.474	571.7
6.557	571.7
6.64	560.2
6.723	549
6.806	549
6.889	538
6.972	538
7.055	527.1
7.138	516.4
7.221	516.4
7.304	505.9
7.387	495.5
7.47	495.5
13.97	495.5
14.053	516.4
14.136	527.1
14.219	549
14.302	549
14.385	549
14.468	538
14.551	538
14.634	538
14.717	538
14.8	527.1
14.883	527.1
14.966	527.1
16.466	527.1
16.549	538
16.632	549
16.715	560.2
16.798	583.3
16.881	595.1
16.964	607.1
17.047	619.3
17.13	631.7
17.213	644.2
17.296	644.2
17.379	631.7
17.462	631.7
17.545	619.3
17.628	619.3
17.711	607.1
17.794	595.1
17.877	595.1
17.96	583.3
18.043	583.3
18.126	571.7
18.209	560.2
18.292	560.2
18.375	549
18.458	549
18.541	538
18.624	538
18.707	527.1
20.207	527.1
20.29	527.1
20.373	538
20.456	538
20.539	549
20.622	549
20.705	560.2
20.788	560.2
20.871	571.7
20.954	571.7
21.037	583.3
21.12	583.3
21.203	595.1
21.286	595.1
21.369	607.1
21.452	607.1
21.535	619.3
21.618	619.3
21.701	631.7
21.784	631.7
21.867	644.2
21.95	644.2
22.033	644.2
22.116	631.7
22.199	631.7
22.282	619.3
22.365	619.3
22.448	607.1
22.531	595.1
22.614	595.1
22.697	583.3
22.78	583.3
22.863	571.7
22.946	560.2
23.029	560.2
23.112	549
23.195	549
23.278	538
23.361	538
23.444	527.1
24.944	527.1
25.027	538
25.11	549
25.193	571.7
25.276	583.3
25.359	595.1
25.442	607.1
25.525	619.3
25.608	619.3
25.691	657
25.774	644.2
25.857	631.7
25.94	631.7
26.023	619.3
26.106	619.3
26.189	607.1
26.272	595.1
26.355	595.1
26.438	583.3
26.521	583.3
26.604	571.7
26.687	571.7
26.77	560.2
26.853	549
26.936	549
27.019	538
27.102	538
27.185	527.1
27.268	527.1
27.351	538
27.434	538
27.517	538
27.6	549
27.683	549
28.683	549
28.766	560.2
28.849	583.3
28.932	595.1
29.015	619.3
29.098	631.7
29.181	644.2
29.264	631.7
29.347	619.3
29.43	607.1
29.513	595.1
29.596	583.3
29.679	560.2
29.762	549
29.845	538
29.928	527.1
31.928	527.1
32.011	538
32.094	549
32.177	560.2
32.26	583.3
32.343	595.1
32.426	607.1
32.509	619.3
32.592	631.7
32.675	644.2
32.758	644.2
32.841	631.7
32.924	631.7
33.007	619.3
33.09	619.3
33.173	607.1
33.256	595.1
33.339	595.1
33.422	583.3
33.505	583.3
33.588	571.7
33.671	560.2
33.754	560.2
33.837	549
33.92	549
34.003	538
34.086	538
34.169	527.1
35.419	527.1
35.669	549
35.919	549
36.919	560.2
37.002	527.1
38.002	527.1
38.085	538
38.168	549
38.251	571.7
38.334	583.3
38.417	595.1
38.5	607.1
38.583	619.3
38.666	631.7
38.749	657
38.832	644.2
38.915	631.7
38.998	619.3
39.081	607.1
39.164	607.1
39.247	595.1
39.33	583.3
39.413	583.3
39.496	560.2
39.579	560.2
39.662	549
39.745	538
39.828	527.1
39.911	527.1
39.994	516.4
40.077	505.9
40.16	495.5
40.243	485.4
40.326	485.4
40.409	475.3
40.492	465.5
42.992	465.5
43.075	475.3
43.158	475.3
43.241	485.4
43.324	485.4
43.407	495.5
43.49	495.5
43.573	505.9
43.656	505.9
43.739	516.4
43.822	527.1
43.905	527.1
43.988	538
44.071	538
44.154	549
44.237	549
44.32	560.2
44.403	560.2
44.486	571.7
44.569	583.3
44.652	583.3
44.735	595.1
44.818	595.1
44.901	607.1
44.984	607.1
45.067	619.3
45.15	619.3
45.233	631.7
45.316	644.2
45.399	644.2
45.482	657
45.565	657
45.648	670
45.731	670
45.814	683.2
45.897	683.2
45.98	696.6
46.063	696.6
46.146	710.3
46.229	724.1
46.312	724.1
46.395	738.2
46.478	738.2
46.561	752.4
46.644	752.4
46.727	766.9
46.81	781.7
46.893	781.7
46.976	796.6
47.059	796.6
47.142	811.8
47.225	811.8
47.308	827.2
47.391	827.2
47.474	842.9
49.974	842.9
50.057	842.9
50.14	858.8
50.223	858.8
50.306	858.8
50.389	874.9
52.889	874.9
52.972	874.9
53.055	874.9
