C_Time_min 	Press_mbar
0	1013
0.083	1013
0.166	1013
0.249	1013
0.332	1013
0.415	1013
0.498	1013
0.581	1013
0.664	1013
0.747	1013
0.83	1013
0.913	1013
0.996	1013
1.079	1013
1.162	1013
1.245	1013
1.328	1013
1.411	1013
1.494	1013
1.577	1013
1.66	1013
1.743	1013
1.826	1013
1.909	1013
1.992	1013
2.075	1013
2.158	1013
2.241	1013
2.324	1013
2.407	1013
2.49	1013
2.573	994.8
2.656	976.9
2.739	959.3
2.822	941.9
2.905	924.8
2.988	907.9
3.071	891.3
3.154	874.9
3.237	858.8
3.32	842.9
3.403	827.2
3.486	796.6
3.569	781.7
3.652	766.9
3.735	752.4
3.818	738.2
3.901	724.1
3.984	710.3
4.067	696.6
4.15	683.2
4.233	670
4.316	657
4.399	644.2
4.482	631.7
4.565	619.3
4.648	607.1
4.731	595.1
4.814	583.3
4.897	571.7
4.98	549
5.063	538
5.146	527.1
5.229	516.4
5.312	505.9
5.395	495.5
5.478	485.4
5.561	475.3
5.644	465.5
5.727	455.8
5.81	446.3
5.893	437
5.976	427.8
6.059	418.8
6.142	409.9
6.225	401.2
6.308	392.6
6.391	384.2
6.474	375.9
6.557	367.8
6.64	351.9
6.723	344.2
6.806	336.7
6.889	329.2
6.972	321.9
7.055	314.8
7.138	307.7
7.221	300.8
7.304	294
7.387	287.4
7.47	280.8
9.47	280.8
9.553	274.4
9.636	268.1
9.719	261.9
9.802	249.9
9.885	244.1
9.968	238.4
11.218	238.4
11.301	238.4
11.384	280.8
11.467	300.8
11.55	321.9
11.633	344.2
11.716	367.8
11.799	401.2
11.882	427.8
11.965	465.5
12.048	485.4
12.131	516.4
12.214	560.2
12.297	595.1
12.38	631.7
12.463	670
17.463	670
17.546	683.2
17.629	710.3
17.712	724.1
17.795	752.4
17.878	752.4
17.961	752.4
18.044	752.4
18.127	752.4
18.21	724.1
18.293	710.3
18.376	683.2
19.626	670
19.709	631.7
19.792	583.3
19.875	549
19.958	549
20.041	549
20.124	583.3
20.207	631.7
20.457	670
24.207	670
24.29	683.2
24.373	710.3
24.456	724.1
24.539	738.2
24.622	752.4
24.705	781.7
26.205	781.7
26.288	781.7
26.371	796.6
26.454	811.8
26.537	811.8
26.62	827.2
26.703	827.2
26.786	842.9
26.869	842.9
26.952	842.9
27.035	874.9
27.118	874.9
27.201	891.3
27.284	891.3
27.367	891.3
27.45	891.3
27.533	924.8
27.616	924.8
27.699	941.9
30.199	941.9
30.282	891.3
30.365	842.9
30.448	796.6
30.531	752.4
30.614	710.3
30.697	670
33.197	670
33.28	657
33.363	644.2
33.446	631.7
33.529	619.3
33.612	607.1
33.695	595.1
35.195	595.1
35.278	595.1
35.361	607.1
35.444	607.1
35.527	607.1
35.61	619.3
35.693	619.3
35.776	619.3
35.859	631.7
35.942	631.7
36.025	631.7
36.108	644.2
36.191	644.2
36.274	644.2
36.357	657
36.44	657
36.523	657
36.606	670
36.689	670
39.189	670
39.272	670
39.355	683.2
39.438	683.2
40.438	683.2
40.521	696.6
40.604	710.3
40.687	724.1
40.77	738.2
40.853	752.4
40.936	766.9
41.019	781.7
41.102	796.6
41.185	811.8
41.268	827.2
41.351	842.9
41.434	858.8
41.517	874.9
41.6	891.3
41.683	907.9
41.766	924.8
41.849	941.9
41.932	976.9
43.432	976.9
43.515	959.3
43.598	959.3
43.681	959.3
43.764	959.3
43.847	941.9
43.93	941.9
44.013	941.9
44.096	924.8
44.179	924.8
44.262	924.8
44.345	924.8
44.428	907.9
44.511	907.9
44.594	907.9
44.677	907.9
44.76	891.3
44.843	891.3
44.926	891.3
45.009	891.3
45.092	874.9
45.175	874.9
45.258	874.9
45.341	874.9
45.424	858.8
45.507	858.8
45.59	858.8
45.673	858.8
45.756	842.9
45.839	842.9
45.922	842.9
47.422	842.9
47.505	842.9
47.588	858.8
47.671	858.8
47.754	874.9
47.837	874.9
47.92	891.3
48.003	891.3
48.086	907.9
48.169	907.9
49.669	907.9
49.752	907.9
49.835	891.3
49.918	891.3
50.001	891.3
50.084	874.9
50.167	874.9
50.25	874.9
50.333	858.8
50.416	858.8
50.499	858.8
50.582	842.9
50.665	842.9
53.165	842.9
53.248	842.9
53.331	842.9
53.414	842.9
53.497	858.8
53.58	858.8
53.663	858.8
53.746	858.8
53.829	858.8
53.912	858.8
53.995	874.9
54.078	874.9
54.161	874.9
54.244	874.9
54.327	874.9
54.41	874.9
54.493	891.3
54.576	891.3
54.659	891.3
54.742	891.3
54.825	891.3
54.908	891.3
54.991	907.9
55.074	907.9
55.157	907.9
55.24	907.9
55.323	907.9
55.406	907.9
55.489	924.8
55.572	924.8
55.655	924.8
55.738	924.8
55.821	924.8
55.904	924.8
55.987	941.9
56.07	941.9
56.153	941.9
56.236	941.9
56.319	941.9
56.402	941.9
56.485	959.3
56.568	959.3
56.651	959.3
56.734	959.3
56.817	959.3
56.9	959.3
56.983	976.9
57.066	976.9
57.149	976.9
57.232	976.9
57.315	976.9
57.398	976.9
57.481	994.8
57.564	994.8
57.647	994.8
57.73	994.8
57.813	994.8
57.896	1013
57.979	1013
58.062	1013
58.145	1013
62.145	1013
